| RAM[0] | RAM[1] | RAM[2] | RAM[3] |
|   2428 |    665 |      3 |    433 |
|  26186 |  13532 |      1 |  12654 |
|  19548 |   7327 |      2 |   4894 |
|   4657 |   2811 |      1 |   1846 |
|  16558 |   1310 |     12 |    838 |
|  12029 |   8619 |      1 |   3410 |
|  15354 |   5117 |      3 |      3 |
|  25203 |  10917 |      2 |   3369 |
|  11141 |   6138 |      1 |   5003 |
|  18026 |   7322 |      2 |   3382 |
|  25293 |  19206 |      1 |   6087 |
|  22235 |   2002 |     11 |    213 |
|  21969 |   2351 |      9 |    810 |
|  27116 |   9099 |      2 |   8918 |
|  16365 |   8948 |      1 |   7417 |
|   8880 |   1709 |      5 |    335 |
|   3587 |   3037 |      1 |    550 |
|  24787 |  19078 |      1 |   5709 |
|  26361 |  24000 |      1 |   2361 |
|   7517 |   2701 |      2 |   2115 |
|   1936 |   1820 |      1 |    116 |
|  29327 |  24474 |      1 |   4853 |
|  18254 |   5945 |      3 |    419 |
|   3625 |   1189 |      3 |     58 |
|   4794 |   2214 |      2 |    366 |
|  10409 |    825 |     12 |    509 |
|  32674 |  30431 |      1 |   2243 |
|  13597 |   3517 |      3 |   3046 |
|   1551 |   1093 |      1 |    458 |
|   7272 |   2173 |      3 |    753 |
|   6575 |   4661 |      1 |   1914 |
|  11303 |   9075 |      1 |   2228 |
|  18382 |   9926 |      1 |   8456 |
|  26339 |  17731 |      1 |   8608 |
|  18029 |  16653 |      1 |   1376 |
|    996 |    305 |      3 |     81 |
|   5747 |   3102 |      1 |   2645 |
|  22337 |  11036 |      2 |    265 |
|    255 |     90 |      2 |     75 |
|   3215 |   3107 |      1 |    108 |
|   6901 |   5456 |      1 |   1445 |
|  25709 |   4773 |      5 |   1844 |
|   1509 |   1034 |      1 |    475 |
|  25515 |   3618 |      7 |    189 |
|   7926 |    505 |     15 |    351 |
|  13627 |  10326 |      1 |   3301 |
|   6320 |   5009 |      1 |   1311 |
|  25797 |  24688 |      1 |   1109 |
|  10092 |   5306 |      1 |   4786 |
|  11201 |   3624 |      3 |    329 |
|  12654 |   4037 |      3 |    543 |
|  14807 |  12558 |      1 |   2249 |
|   2418 |   1839 |      1 |    579 |
|  23834 |  20251 |      1 |   3583 |
|   5420 |   2666 |      2 |     88 |
|  25422 |  15661 |      1 |   9761 |
|   4885 |   3463 |      1 |   1422 |
|  16113 |   2287 |      7 |    104 |
|  28026 |  25774 |      1 |   2252 |
|  24264 |  21008 |      1 |   3256 |
|  16323 |    707 |     23 |     62 |
|  22021 |  14442 |      1 |   7579 |
|  27519 |  15920 |      1 |  11599 |
|   7369 |    983 |      7 |    488 |
|  25904 |  17875 |      1 |   8029 |
|  30113 |  23053 |      1 |   7060 |
|  28315 |  22187 |      1 |   6128 |
|  28211 |  16935 |      1 |  11276 |
|    257 |      2 |    128 |      1 |
|  24267 |   6925 |      3 |   3492 |
|  31373 |  24283 |      1 |   7090 |
|  14373 |   4854 |      2 |   4665 |
|  29809 |  14545 |      2 |    719 |
|   5532 |    916 |      6 |     36 |
|  26002 |  14764 |      1 |  11238 |
|  15513 |  12041 |      1 |   3472 |
|   1565 |    730 |      2 |    105 |
|  14240 |  13055 |      1 |   1185 |
|   2794 |   2036 |      1 |    758 |
|  22281 |  11722 |      1 |  10559 |
|   8993 |   4842 |      1 |   4151 |
|  28871 |  21721 |      1 |   7150 |
|  29157 |    524 |     55 |    337 |
|  24828 |  17012 |      1 |   7816 |
|  20599 |  10550 |      1 |  10049 |
|  27312 |   6539 |      4 |   1156 |
|  23722 |  17151 |      1 |   6571 |
|  11930 |   4780 |      2 |   2370 |
|  10641 |   4898 |      2 |    845 |
|  27374 |  24704 |      1 |   2670 |
|  13736 |   5054 |      2 |   3628 |
|   4134 |   3325 |      1 |    809 |
|   6749 |   1681 |      4 |     25 |
|  13202 |   3284 |      4 |     66 |
|    102 |     18 |      5 |     12 |
|    345 |    282 |      1 |     63 |
|  19455 |  13873 |      1 |   5582 |
|  22793 |   8158 |      2 |   6477 |
|   6816 |   3714 |      1 |   3102 |
|   5035 |   1756 |      2 |   1523 |
|  14164 |   9801 |      1 |   4363 |
|   5033 |   4396 |      1 |    637 |
|   7721 |   1791 |      4 |    557 |
|  12119 |   6073 |      1 |   6046 |
|  32713 |   4549 |      7 |    870 |
|  10003 |   6979 |      1 |   3024 |
|  18422 |  11219 |      1 |   7203 |
|  23200 |   9722 |      2 |   3756 |
|  12892 |   4847 |      2 |   3198 |
|   4983 |   3048 |      1 |   1935 |
|   6803 |   5336 |      1 |   1467 |
|  31810 |  27966 |      1 |   3844 |
|   3821 |   2516 |      1 |   1305 |
|  26845 |  18160 |      1 |   8685 |
|  24695 |   4755 |      5 |    920 |
|  32371 |   5280 |      6 |    691 |
|   3952 |   2587 |      1 |   1365 |
|  30327 |  29437 |      1 |    890 |
|  32411 |   7205 |      4 |   3591 |
|   4382 |   4281 |      1 |    101 |
|  23700 |   8637 |      2 |   6426 |
|   7732 |   3769 |      2 |    194 |
|  11074 |   9833 |      1 |   1241 |
|  19292 |   3614 |      5 |   1222 |
|   3236 |   2822 |      1 |    414 |
|  28204 |   9070 |      3 |    994 |
|   6483 |    782 |      8 |    227 |
|  28904 |   6496 |      4 |   2920 |
|  23622 |  19458 |      1 |   4164 |
|   9336 |   8951 |      1 |    385 |
|  30051 |  29229 |      1 |    822 |
|   3905 |   1353 |      2 |   1199 |
|  15490 |  10304 |      1 |   5186 |
|  22039 |    853 |     25 |    714 |
|  31538 |  22672 |      1 |   8866 |
|  21221 |   1287 |     16 |    629 |
|  30261 |  19792 |      1 |  10469 |
|  30548 |   7687 |      3 |   7487 |
|   3154 |   2523 |      1 |    631 |
|   3474 |   1689 |      2 |     96 |
|  25213 |   5665 |      4 |   2553 |
|  13353 |    108 |    123 |     69 |
|  20341 |    629 |     32 |    213 |
|  24392 |   7711 |      3 |   1259 |
|  19698 |   4262 |      4 |   2650 |
|   8817 |   3541 |      2 |   1735 |
|  18965 |  10799 |      1 |   8166 |
|   8460 |   6334 |      1 |   2126 |
|   5364 |   2299 |      2 |    766 |
|  15245 |   1270 |     12 |      5 |
|  10545 |   7711 |      1 |   2834 |
|  16266 |  13376 |      1 |   2890 |
|   4967 |   3804 |      1 |   1163 |
|  27374 |   4853 |      5 |   3109 |
|   8119 |   1806 |      4 |    895 |
|  11943 |   1518 |      7 |   1317 |
|   7349 |    173 |     42 |     83 |
|  26447 |   9749 |      2 |   6949 |
|  30898 |  18964 |      1 |  11934 |
|  14234 |   2301 |      6 |    428 |
|   8744 |   1760 |      4 |   1704 |
|   3575 |   2509 |      1 |   1066 |
|  25698 |  18367 |      1 |   7331 |
|   5689 |   3956 |      1 |   1733 |
|  26678 |  17830 |      1 |   8848 |
|   4861 |    135 |     36 |      1 |
|   7053 |   2164 |      3 |    561 |
|   3663 |   2912 |      1 |    751 |
|  22387 |  15015 |      1 |   7372 |
|  21918 |  11233 |      1 |  10685 |
|  10960 |  10484 |      1 |    476 |
|  22849 |    843 |     27 |     88 |
|  14676 |   1696 |      8 |   1108 |
|  20447 |  19849 |      1 |    598 |
|  16644 |  10913 |      1 |   5731 |
|   7918 |   5237 |      1 |   2681 |
|    323 |     86 |      3 |     65 |
|   8438 |   5097 |      1 |   3341 |
|  22982 |   8087 |      2 |   6808 |
|    702 |    254 |      2 |    194 |
|   2973 |    684 |      4 |    237 |
|  25037 |  24947 |      1 |     90 |
|   3359 |   2587 |      1 |    772 |
|  12191 |   9806 |      1 |   2385 |
|  32124 |  12342 |      2 |   7440 |
|  32251 |  31323 |      1 |    928 |
|  16523 |   2578 |      6 |   1055 |
|  21419 |  18792 |      1 |   2627 |
|  10632 |   8731 |      1 |   1901 |
|  18981 |  13026 |      1 |   5955 |
|  27126 |  16615 |      1 |  10511 |
|   1044 |     54 |     19 |     18 |
|   7292 |   1335 |      5 |    617 |
|  14867 |   7999 |      1 |   6868 |
|  17185 |   5703 |      3 |     76 |
|   1068 |    603 |      1 |    465 |
|  30333 |   8709 |      3 |   4206 |
|  31245 |  15046 |      2 |   1153 |
|  17084 |  11217 |      1 |   5867 |
|   1524 |   1413 |      1 |    111 |
|  29635 |  13313 |      2 |   3009 |
|  15374 |  10872 |      1 |   4502 |
|  24601 |   8764 |      2 |   7073 |
|  11143 |   1288 |      8 |    839 |
|  22376 |   4031 |      5 |   2221 |
|  30523 |  21671 |      1 |   8852 |
|   7776 |   1858 |      4 |    344 |
|  14256 |  10029 |      1 |   4227 |
|  16476 |   5270 |      3 |    666 |
|  16834 |  11964 |      1 |   4870 |
|  23895 |  10387 |      2 |   3121 |
|   8584 |   7542 |      1 |   1042 |
|  29595 |  23062 |      1 |   6533 |
|   5412 |   3528 |      1 |   1884 |
|   9013 |   4228 |      2 |    557 |
|  16822 |  12535 |      1 |   4287 |
|   7944 |   7344 |      1 |    600 |
|   9965 |   8738 |      1 |   1227 |
|   5281 |   1528 |      3 |    697 |
|  13380 |   3163 |      4 |    728 |
|  20614 |    838 |     24 |    502 |
|  26327 |  10122 |      2 |   6083 |
|  17460 |   5707 |      3 |    339 |
|  17462 |   8096 |      2 |   1270 |
|  29139 |  11131 |      2 |   6877 |
|  20554 |   7761 |      2 |   5032 |
|  21009 |   6939 |      3 |    192 |
|   6284 |   2521 |      2 |   1242 |
|  16573 |   2798 |      5 |   2583 |
|  31751 |   1494 |     21 |    377 |
|   6495 |   5719 |      1 |    776 |
|  29434 |   2751 |     10 |   1924 |
|  11775 |   9143 |      1 |   2632 |
|   1505 |    410 |      3 |    275 |
|    484 |    193 |      2 |     98 |
|  28167 |  23027 |      1 |   5140 |
|   2058 |    344 |      5 |    338 |
|  29803 |  13245 |      2 |   3313 |
|  15931 |  12122 |      1 |   3809 |
|   8676 |   3253 |      2 |   2170 |
|  11656 |   8883 |      1 |   2773 |
|  31301 |   9220 |      3 |   3641 |
|   1539 |    695 |      2 |    149 |
|   4722 |   1194 |      3 |   1140 |
|  11801 |   5258 |      2 |   1285 |
|  12930 |   2825 |      4 |   1630 |
|  14037 |   3519 |      3 |   3480 |
|  18355 |   5768 |      3 |   1051 |
|  13340 |   3687 |      3 |   2279 |
|  18754 |   5169 |      3 |   3247 |
|   7492 |    768 |      9 |    580 |
|  31486 |   4365 |      7 |    931 |
|  32322 |  25998 |      1 |   6324 |
|   9321 |   3277 |      2 |   2767 |
|   9208 |   7808 |      1 |   1400 |
|  21393 |  18366 |      1 |   3027 |
|  14814 |   4808 |      3 |    390 |
|  18167 |   9064 |      2 |     39 |
|   3272 |   1164 |      2 |    944 |
|  29673 |    189 |    157 |      0 |
|  24345 |   9247 |      2 |   5851 |
|  27160 |   2985 |      9 |    295 |
|  29599 |   4586 |      6 |   2083 |
|  27633 |   5148 |      5 |   1893 |
|  23869 |  11416 |      2 |   1037 |
|  30706 |  21215 |      1 |   9491 |
|  15300 |  11753 |      1 |   3547 |
|   8771 |   7981 |      1 |    790 |
|  27259 |   8625 |      3 |   1384 |
|  27483 |  13414 |      2 |    655 |
|  15298 |   5142 |      2 |   5014 |
|  13423 |   2473 |      5 |   1058 |
|  31689 |  30713 |      1 |    976 |
|  32716 |  27708 |      1 |   5008 |
|  14352 |  10395 |      1 |   3957 |
|  28346 |   7606 |      3 |   5528 |
|  25860 |  24628 |      1 |   1232 |
|   7513 |   2207 |      3 |    892 |
|  17634 |  10017 |      1 |   7617 |
|  15174 |  14442 |      1 |    732 |
|   1999 |   1963 |      1 |     36 |
|  31923 |  18642 |      1 |  13281 |
|   7463 |   6895 |      1 |    568 |
|   4654 |   1226 |      3 |    976 |
|  32282 |   9175 |      3 |   4757 |
|  16926 |  13484 |      1 |   3442 |
|  25787 |  25100 |      1 |    687 |
|  31429 |  20742 |      1 |  10687 |
|  30174 |  15569 |      1 |  14605 |
|  14650 |  11322 |      1 |   3328 |
|   4937 |   1635 |      3 |     32 |
|  21351 |   8602 |      2 |   4147 |
|   4464 |     39 |    114 |     18 |
|   5349 |   3298 |      1 |   2051 |
|  16190 |  14507 |      1 |   1683 |
|  17895 |  10740 |      1 |   7155 |
|  14257 |   3502 |      4 |    249 |
|  21182 |  10921 |      1 |  10261 |
|   3321 |   1640 |      2 |     41 |
|   3206 |   1908 |      1 |   1298 |
|  26723 |  11611 |      2 |   3501 |
|   7100 |   2523 |      2 |   2054 |
|   5981 |   5062 |      1 |    919 |
|   9214 |   3449 |      2 |   2316 |
|  28398 |   2458 |     11 |   1360 |
|   4422 |    784 |      5 |    502 |
|  24161 |  14924 |      1 |   9237 |
|  24632 |  14182 |      1 |  10450 |
|  20619 |  18839 |      1 |   1780 |
|  24186 |   4670 |      5 |    836 |
|  23300 |  14173 |      1 |   9127 |
|  23835 |   3903 |      6 |    417 |
|  19166 |  11760 |      1 |   7406 |
|  10790 |   6566 |      1 |   4224 |
|  10840 |   7525 |      1 |   3315 |
|  19628 |   1411 |     13 |   1285 |
|  10896 |  10799 |      1 |     97 |
|  27004 |   1178 |     22 |   1088 |
|  23214 |  15458 |      1 |   7756 |
|  24875 |  22258 |      1 |   2617 |
|   9253 |   1757 |      5 |    468 |
|  16314 |  16312 |      1 |      2 |
|  25650 |  13576 |      1 |  12074 |
|   5054 |    672 |      7 |    350 |
|  26263 |   2125 |     12 |    763 |
|   3867 |   1029 |      3 |    780 |
|  18046 |  15169 |      1 |   2877 |
|  24433 |  14491 |      1 |   9942 |
|   2891 |   2180 |      1 |    711 |
|  15921 |  11961 |      1 |   3960 |
|  32619 |  28151 |      1 |   4468 |
|  20425 |  17694 |      1 |   2731 |
|   4661 |   1057 |      4 |    433 |
|  21354 |   8979 |      2 |   3396 |
|   2771 |   2661 |      1 |    110 |
|  12254 |   3004 |      4 |    238 |
|  13831 |   7144 |      1 |   6687 |
|  22321 |  12795 |      1 |   9526 |
|  26381 |  19053 |      1 |   7328 |
|   7031 |   2194 |      3 |    449 |
|  31638 |  31074 |      1 |    564 |
